"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","275","Успешный переход в раздел ""Конструктор"" по клику на ""Конструктор"" в шапке страницы","tests","Sat Jul 12 00:01:42 EDT 2025","passed","Sat Jul 12 00:01:42 EDT 2025","TestBasicFunctionality","test_basic_functionality","",""
"","6153","При создании нового заказа счётчик ""Выполнено за всё время"" увеличивается","tests","Sat Jul 12 00:03:37 EDT 2025","passed","Sat Jul 12 00:03:43 EDT 2025","TestOrdersFeed","test_orders_feed","",""
"","406","Успешный переход в раздел ""Конструктор"" по клику на ""Конструктор"" в шапке страницы","tests","Sat Jul 12 00:01:52 EDT 2025","passed","Sat Jul 12 00:01:53 EDT 2025","TestBasicFunctionality","test_basic_functionality","",""
"","151","Если кликнуть на ингредиент ""Флюоресцентная булка R2-D3"", появится всплывающее окно с деталями","tests","Sat Jul 12 00:02:20 EDT 2025","passed","Sat Jul 12 00:02:20 EDT 2025","TestBasicFunctionality","test_basic_functionality","",""
"","76","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","tests","Sat Jul 12 00:03:12 EDT 2025","passed","Sat Jul 12 00:03:13 EDT 2025","TestBasicFunctionality","test_basic_functionality","",""
"","102","Успешный переход в раздел ""Лента заказов"" по клику на ""Ленту заказов"" в шапке страницы","tests","Sat Jul 12 00:02:00 EDT 2025","passed","Sat Jul 12 00:02:00 EDT 2025","TestBasicFunctionality","test_basic_functionality","",""
"","273","Успешный переход в раздел ""Лента заказов"" по клику на ""Ленту заказов"" в шапке страницы","tests","Sat Jul 12 00:02:12 EDT 2025","passed","Sat Jul 12 00:02:12 EDT 2025","TestBasicFunctionality","test_basic_functionality","",""
"","322","Если кликнуть на ингредиент ""Флюоресцентная булка R2-D3"", появится всплывающее окно с деталями","tests","Sat Jul 12 00:02:32 EDT 2025","passed","Sat Jul 12 00:02:32 EDT 2025","TestBasicFunctionality","test_basic_functionality","",""
"","758","Всплывающее окно закрывается кликом по крестику","tests","Sat Jul 12 00:02:40 EDT 2025","passed","Sat Jul 12 00:02:41 EDT 2025","TestBasicFunctionality","test_basic_functionality","",""
"","8971","После оформления заказа его номер появляется в разделе ""В работе""","tests","Sat Jul 12 00:04:21 EDT 2025","passed","Sat Jul 12 00:04:30 EDT 2025","TestOrdersFeed","test_orders_feed","",""
"","7139","После оформления заказа его номер появляется в разделе ""В работе""","tests","Sat Jul 12 00:04:41 EDT 2025","passed","Sat Jul 12 00:04:48 EDT 2025","TestOrdersFeed","test_orders_feed","",""
"","565","Всплывающее окно закрывается кликом по крестику","tests","Sat Jul 12 00:02:53 EDT 2025","passed","Sat Jul 12 00:02:53 EDT 2025","TestBasicFunctionality","test_basic_functionality","",""
"","7565","При создании нового заказа счётчик ""Выполнено за всё время"" увеличивается","tests","Sat Jul 12 00:03:19 EDT 2025","passed","Sat Jul 12 00:03:27 EDT 2025","TestOrdersFeed","test_orders_feed","",""
"","6111","При создании нового заказа счётчик ""Выполнено за сегодня"" увеличивается","tests","Sat Jul 12 00:04:07 EDT 2025","passed","Sat Jul 12 00:04:13 EDT 2025","TestOrdersFeed","test_orders_feed","",""
"","7459","При создании нового заказа счётчик ""Выполнено за сегодня"" увеличивается","tests","Sat Jul 12 00:03:50 EDT 2025","passed","Sat Jul 12 00:03:57 EDT 2025","TestOrdersFeed","test_orders_feed","",""
"","637","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","tests","Sat Jul 12 00:03:01 EDT 2025","passed","Sat Jul 12 00:03:01 EDT 2025","TestBasicFunctionality","test_basic_functionality","",""
